sentence,trigger1,trigger2,label
And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary.,taking,ensure,intend
"Mr. Drabinsky, who would have had the right to vote those shares for two years, said the purchase, subsequently rejected by regulators, was aimed at consolidating his control of the company. ",purchase,consolidating,intend
"Then yesterday, he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel's occupation of the West Bank. ",linking,entice,intend
Courtaulds PLC announced plans to spin off its textiles operations to existing shareholders in a restructuring to boost shareholder value.,spin,boost,intend
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",use,establishing,intend
Rally's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer.,adopted,protect,intend
"The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. ",used,reduce,intend
"Mr. Edelman declined to specify what prompted the recent moves, saying they are meant only to benefit shareholders when ""the company is on a roll."" ",moves,benefit,intend
The combined operations  are designed  to isolate and strangleIraq until it retreats from Kuwait.,operations,retreats,intend
The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,pump,sell,intend
It also was considering a restructuring to help boost the stock price.,restructuring,help,intend
"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons.""",use,build,intend
"Acquisition has launched a suit in a Delaware court seeking the withdrawal of Dunkin's poison pill rights and employee stock ownership plans, which it claims were put in place to deter bidders. ",launched,withdrawal,intend
"The message to the chief of staff was meant to be taken as a suggestionthat Sununu offer to resign, one highly placed source said. ",message,taken,intend
The restructuring program  is designed  to increase the company's tangible capital ratio.,program,increase,intend
And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary.,taking,support,intend
The combined operations  are designed  to isolate and strangleIraq until it retreats from Kuwait.,operations,isolate,intend
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",acquisitions,use,intend
Several Google users and fans gathered in front of the company's China headquarters in northwest Beijing to express support for Internet freedom.,gathered,express,intend
"Iraq clearly is trying to woo back more Arab support in case the conflict drags on, hoping that its neighbors eventually will help it survive a prolonged war of economic attrition with the West. ",woo,help,intend
To sweeten the pact further -- and to ease concerns of institutional investors -- BellSouth added a provision designed to give extra protection to holders if the regional Bell company ever decides to buy the rest of the new cellular company.,give,added,intend
"Mr. Lortie's departure, while sudden, was seen as inevitable in light of the shift in strategy. ",departure,shift,intend
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",use,repay,intend
LIN Broadcasting surged 4 5/8 to 112 5/8; LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications.,sweetened,keep,intend
Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,meeting,shut,intend
"Even as Saddam Hussein was searching for a ploy to ease his isolation, though, the international pressure against him clicked up another notch. ",ploy,ease,intend
"Cineplex Odeon Corp. directors said the company's chairman and chief executive, Garth Drabinsky, is considering bidding 780.6 million Canadian dollars (US$666 million) to acquire the company.    ",bidding,to,intend
The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,pump,reap,intend
